"city","make","Model","ttl","rnk"
Black Diamond,TESLA,MODEL Y,94,1
Black Diamond,TESLA,MODEL 3,64,2
Black Diamond,FORD,MUSTANG MACH-E,19,3
Black Diamond,TESLA,MODEL X,19,4
Black Diamond,TESLA,MODEL S,18,5
Blaine,TESLA,MODEL Y,72,1
Blaine,TESLA,MODEL 3,61,2
Blaine,NISSAN,LEAF,31,3
Blaine,TESLA,MODEL S,23,4
Blaine,CHEVROLET,VOLT,21,5
Bonney Lake,TESLA,MODEL Y,155,1
Bonney Lake,TESLA,MODEL 3,133,2
Bonney Lake,TESLA,MODEL X,52,3
Bonney Lake,FORD,MUSTANG MACH-E,38,4
Bonney Lake,NISSAN,LEAF,38,5
Bothell,TESLA,MODEL Y,226,1
Bothell,TESLA,MODEL 3,219,2
Bothell,NISSAN,LEAF,191,3
Bothell,TESLA,MODEL X,167,4
Bothell,TESLA,MODEL S,140,5
Bow,TESLA,MODEL Y,16,1
Bow,CHEVROLET,BOLT EV,13,2
Bow,TESLA,MODEL 3,13,3
Bow,NISSAN,LEAF,10,4
Bow,CHEVROLET,VOLT,5,5
Bremerton,TESLA,MODEL 3,149,1
Bremerton,TESLA,MODEL Y,125,2
Bremerton,NISSAN,LEAF,115,3
Bremerton,CHEVROLET,BOLT EV,52,4
Bremerton,FORD,MUSTANG MACH-E,49,5
Brewster,TESLA,MODEL Y,8,1
Brewster,TESLA,MODEL 3,4,2
Brewster,TESLA,CYBERTRUCK,2,3
Brewster,CHEVROLET,VOLT,1,4
Brewster,HYUNDAI,IONIQ 6,1,5
Bridgeport,TESLA,MODEL Y,2,1
Bridgeport,FORD,F-150,1,2
Bridgeport,FORD,MUSTANG MACH-E,1,3
Bridgeport Bar,TESLA,MODEL 3,2,1
Bridgeport Bar,FORD,C-MAX,1,2
Bridgeport Bar,KIA,EV9,1,3
Bridgeport Bar,LUCID,AIR,1,4
Bridgeport Bar,RIVIAN,R1T,1,5
Brier,TESLA,MODEL Y,49,1
Brier,NISSAN,LEAF,37,2
Brier,TESLA,MODEL 3,29,3
Brier,HYUNDAI,IONIQ 5,14,4
Brier,TESLA,MODEL S,10,5
Brinnon,TESLA,MODEL Y,12,1
Brinnon,CHEVROLET,BOLT EV,4,2
Brinnon,CHEVROLET,VOLT,3,3
Brinnon,TESLA,MODEL 3,3,4
Brinnon,FORD,F-150,2,5
Brush Prairie,TESLA,MODEL 3,57,1
Brush Prairie,TESLA,MODEL Y,46,2
Brush Prairie,TESLA,MODEL S,27,3
Brush Prairie,NISSAN,LEAF,21,4
Brush Prairie,TOYOTA,RAV4 PRIME,13,5
Buckley,TESLA,MODEL 3,56,1
Buckley,TESLA,MODEL Y,50,2
Buckley,JEEP,WRANGLER,19,3
Buckley,TESLA,MODEL S,16,4
Buckley,FORD,MUSTANG MACH-E,15,5
Bucoda,HONDA,PROLOGUE,1,1
Bucoda,NISSAN,LEAF,1,2
Bucoda,TESLA,MODEL 3,1,3
Buena,TESLA,MODEL 3,1,1
Buena,TESLA,MODEL Y,1,2
Burbank,TESLA,MODEL 3,8,1
Burbank,TESLA,MODEL Y,7,2
Burbank,TOYOTA,PRIUS PRIME,2,3
Burbank,CADILLAC,LYRIQ,1,4
Burbank,CHEVROLET,BOLT EV,1,5
Burien,TESLA,MODEL Y,127,1
Burien,TESLA,MODEL 3,110,2
Burien,NISSAN,LEAF,77,3
Burien,CHEVROLET,BOLT EV,49,4
Burien,TESLA,MODEL S,34,5
Burlington,TESLA,MODEL 3,34,1
Burlington,TESLA,MODEL Y,29,2
Burlington,NISSAN,LEAF,14,3
Burlington,CHEVROLET,VOLT,11,4
Burlington,RIVIAN,EDV,11,5
Bz Corner,CHEVROLET,BOLT EV,3,1
Bz Corner,TESLA,MODEL Y,2,2
Bz Corner,HONDA,PROLOGUE,1,3
Bz Corner,KIA,NIRO,1,4
Bz Corner,RIVIAN,R1T,1,5
