"city","make","Model","ttl","rnk"
Ford,MITSUBISHI,OUTLANDER,1,3
Ford,SUBARU,SOLTERRA,1,4
Forks,TESLA,MODEL Y,5,1
Forks,TESLA,MODEL 3,4,2
Forks,CHEVROLET,BOLT EV,2,3
Forks,FORD,MUSTANG MACH-E,2,4
Forks,JEEP,WRANGLER,2,5
Fox Island,TESLA,MODEL Y,42,1
Fox Island,TESLA,MODEL 3,28,2
Fox Island,TESLA,MODEL S,16,3
Fox Island,RIVIAN,R1S,10,4
Fox Island,TOYOTA,PRIUS PRIME,10,5
Freeland,TESLA,MODEL Y,30,1
Freeland,TESLA,MODEL 3,28,2
Freeland,NISSAN,LEAF,20,3
Freeland,CHEVROLET,BOLT EV,14,4
Freeland,CHEVROLET,VOLT,14,5
Friday Harbor,NISSAN,LEAF,67,1
Friday Harbor,TESLA,MODEL Y,44,2
Friday Harbor,CHEVROLET,BOLT EV,42,3
Friday Harbor,TESLA,MODEL S,28,4
Friday Harbor,TESLA,MODEL 3,24,5
Galvin,TESLA,MODEL 3,1,1
Gardiner,HYUNDAI,KONA,1,1
Garfield,FORD,MUSTANG MACH-E,1,1
Garfield,SUBARU,SOLTERRA,1,2
Garfield,TESLA,MODEL 3,1,3
Garfield,TESLA,MODEL S,1,4
Garfield,TOYOTA,RAV4 PRIME,1,5
Gifford,MITSUBISHI,OUTLANDER,1,1
Gig Harbor,TESLA,MODEL 3,170,1
Gig Harbor,TESLA,MODEL Y,160,2
Gig Harbor,TESLA,MODEL S,95,3
Gig Harbor,NISSAN,LEAF,91,4
Gig Harbor,TESLA,MODEL X,52,5
Glacier,TESLA,MODEL Y,4,1
Glacier,TESLA,MODEL 3,3,2
Glacier,KIA,EV6,2,3
Glacier,AUDI,E-TRON,1,4
Glacier,BMW,I4,1,5
Glenoma,CHRYSLER,PACIFICA,1,1
Glenoma,FORD,MUSTANG MACH-E,1,2
Glenoma,HONDA,CLARITY,1,3
Glenoma,KIA,EV6,1,4
Glenoma,KIA,SORENTO,1,5
Glenwood,FORD,C-MAX,1,1
Gold Bar,TESLA,MODEL Y,15,1
Gold Bar,TESLA,MODEL 3,14,2
Gold Bar,CHEVROLET,VOLT,7,3
Gold Bar,TESLA,MODEL S,5,4
Gold Bar,JEEP,WRANGLER,4,5
Goldendale,FORD,F-150,8,1
Goldendale,CHEVROLET,BOLT EV,6,2
Goldendale,CHEVROLET,VOLT,5,3
Goldendale,TOYOTA,BZ4X,5,4
Goldendale,TESLA,MODEL Y,3,5
Graham,TESLA,MODEL 3,70,1
Graham,TESLA,MODEL Y,59,2
Graham,NISSAN,LEAF,21,3
Graham,JEEP,WRANGLER,19,4
Graham,KIA,NIRO,19,5
Grand Coulee,BMW,I3,2,1
Grand Coulee,TESLA,MODEL Y,2,2
Grand Coulee,BMW,I4,1,3
Grand Coulee,FORD,C-MAX,1,4
Grand Coulee,HONDA,CLARITY,1,5
Grandview,TESLA,MODEL 3,18,1
Grandview,TESLA,MODEL S,7,2
Grandview,TESLA,MODEL Y,6,3
Grandview,JEEP,WRANGLER,4,4
Grandview,TESLA,MODEL X,3,5
Granger,CHEVROLET,BOLT EUV,1,1
Granger,CHEVROLET,BOLT EV,1,2
Granger,FORD,F-150,1,3
Granger,HONDA,PROLOGUE,1,4
Granger,JEEP,GRAND CHEROKEE,1,5
Granite Falls,TESLA,MODEL 3,37,1
Granite Falls,TESLA,MODEL Y,33,2
Granite Falls,NISSAN,LEAF,17,3
Granite Falls,TESLA,MODEL S,13,4
Granite Falls,CHEVROLET,VOLT,10,5
Grapeview,TESLA,MODEL Y,14,1
Grapeview,TESLA,MODEL 3,8,2
Grapeview,TESLA,MODEL S,7,3
Grapeview,CHEVROLET,VOLT,6,4
Grapeview,FORD,MUSTANG MACH-E,6,5
Grayland,TOYOTA,PRIUS PRIME,2,1
Grayland,CHEVROLET,BOLT EUV,1,2
Grayland,CHEVROLET,BOLT EV,1,3
Grayland,CHEVROLET,VOLT,1,4
Grayland,FORD,FUSION,1,5
Grays River,CHEVROLET,BOLT EV,1,1
Grays River,CHEVROLET,VOLT,1,2
Grays River,TESLA,MODEL 3,1,3
Grays River,VOLKSWAGEN,ID.4,1,4
Greenacres,TESLA,MODEL Y,41,1
Greenacres,TESLA,MODEL 3,29,2
Greenacres,TESLA,MODEL S,12,3
Greenacres,FORD,MUSTANG MACH-E,8,4
Greenacres,JEEP,WRANGLER,7,5
Greenbank,NISSAN,LEAF,9,1
Greenbank,TESLA,MODEL Y,9,2
Greenbank,CHEVROLET,BOLT EV,8,3
Greenbank,TESLA,MODEL 3,8,4
Greenbank,TESLA,MODEL S,8,5
Hamilton,CHEVROLET,BOLT EUV,1,1
Hamilton,NISSAN,LEAF,1,2
Hansville,TESLA,MODEL Y,17,1
Hansville,FORD,MUSTANG MACH-E,7,2
Hansville,TESLA,MODEL 3,7,3
Hansville,CHEVROLET,BOLT EV,5,4
Hansville,NISSAN,LEAF,5,5
Harrah,CHEVROLET,VOLT,1,1
Harrington,CHEVROLET,VOLT,1,1
Harrington,KIA,EV6,1,2
Hartline,JEEP,WRANGLER,1,1
Hartline,TESLA,MODEL 3,1,2
Hatton,TESLA,MODEL 3,1,1
Holden Village,TESLA,MODEL 3,1,1
Hoodsport,TESLA,MODEL Y,8,1
Hoodsport,TESLA,MODEL 3,7,2
Hoodsport,CHEVROLET,BOLT EV,4,3
Hoodsport,CHEVROLET,VOLT,4,4
Hoodsport,NISSAN,LEAF,4,5
Hoquiam,TESLA,MODEL 3,6,1
Hoquiam,TESLA,MODEL Y,6,2
Hoquiam,CHEVROLET,BOLT EV,5,3
Hoquiam,FORD,C-MAX,5,4
Hoquiam,FORD,MUSTANG MACH-E,4,5
Hunters,TESLA,MODEL 3,1,1
Hunters,TOYOTA,RAV4 PRIME,1,2
Hunts Point,TESLA,MODEL S,13,1
Hunts Point,TESLA,MODEL X,12,2
Hunts Point,PORSCHE,TAYCAN,6,3
Hunts Point,TESLA,MODEL Y,6,4
Hunts Point,TESLA,MODEL 3,5,5
Husum,TESLA,MODEL Y,6,1
Husum,TESLA,MODEL 3,4,2
Husum,TOYOTA,RAV4 PRIME,3,3
Husum,AUDI,Q5 E,2,4
Husum,CHEVROLET,BOLT EV,1,5
Ilwaco,TOYOTA,RAV4 PRIME,3,1
Ilwaco,CHEVROLET,BOLT EV,2,2
Ilwaco,KIA,EV6,2,3
Ilwaco,RIVIAN,R1S,2,4
Ilwaco,TOYOTA,PRIUS PRIME,2,5
Incorporated,BMW,I4,1,1
Index,CHEVROLET,BOLT EV,2,1
Index,BMW,X3,1,2
Index,CHEVROLET,BOLT EUV,1,3
Index,NISSAN,LEAF,1,4
Index,TESLA,MODEL Y,1,5
Indianola,NISSAN,LEAF,11,1
Indianola,TESLA,MODEL Y,9,2
Indianola,CHEVROLET,BOLT EV,4,3
Indianola,HYUNDAI,IONIQ 5,4,4
Indianola,TESLA,MODEL 3,4,5
Ione,MAZDA,CX-90,1,1
Ione,TESLA,MODEL Y,1,2
Ione,TOYOTA,RAV4 PRIME,1,3
Issaquah,TESLA,MODEL Y,208,1
Issaquah,TESLA,MODEL 3,197,2
Issaquah,TESLA,MODEL X,123,3
Issaquah,TESLA,MODEL S,106,4
Issaquah,NISSAN,LEAF,103,5
Joint Base Lewis Mcchord,TESLA,MODEL 3,36,1
Joint Base Lewis Mcchord,TESLA,MODEL Y,26,2
Joint Base Lewis Mcchord,KIA,EV6,11,3
Joint Base Lewis Mcchord,CHRYSLER,PACIFICA,5,4
Joint Base Lewis Mcchord,FORD,MUSTANG MACH-E,5,5
Kalama,TESLA,MODEL Y,25,1
Kalama,TESLA,MODEL 3,21,2
Kalama,CHEVROLET,VOLT,8,3
Kalama,NISSAN,LEAF,7,4
Kalama,CHEVROLET,BOLT EV,6,5
Kapowsin,TESLA,MODEL S,3,1
Kapowsin,NISSAN,LEAF,2,2
Kapowsin,TESLA,MODEL 3,1,3
Kapowsin,TESLA,MODEL Y,1,4
Kelso,TESLA,MODEL 3,35,1
Kelso,TESLA,MODEL Y,31,2
Kelso,CHEVROLET,BOLT EV,15,3
Kelso,NISSAN,LEAF,12,4
Kelso,JEEP,WRANGLER,11,5
Kenmore,TESLA,MODEL 3,129,1
Kenmore,TESLA,MODEL Y,120,2
Kenmore,NISSAN,LEAF,87,3
Kenmore,TESLA,MODEL X,39,4
Kenmore,TESLA,MODEL S,37,5
Kennewick,TESLA,MODEL 3,126,1
Kennewick,TESLA,MODEL Y,113,2
Kennewick,TESLA,MODEL S,57,3
Kennewick,NISSAN,LEAF,47,4
Kennewick,CHEVROLET,VOLT,41,5
Kent,TESLA,MODEL Y,208,1
Kent,TESLA,MODEL 3,204,2
Kent,NISSAN,LEAF,120,3
Kent,TESLA,MODEL X,89,4
Kent,TESLA,MODEL S,87,5
Kettle Falls,TESLA,MODEL Y,8,1
Kettle Falls,TESLA,MODEL 3,4,2
Kettle Falls,CHEVROLET,BOLT EV,3,3
Kettle Falls,KIA,NIRO,3,4
Kettle Falls,CHEVROLET,VOLT,2,5
Keyport,NISSAN,LEAF,3,1
Keyport,HONDA,PROLOGUE,2,2
Keyport,TESLA,MODEL 3,2,3
Keyport,CHEVROLET,BOLT EV,1,4
Keyport,CHEVROLET,VOLT,1,5
Kingston,TESLA,MODEL Y,35,1
Kingston,NISSAN,LEAF,33,2
Kingston,TESLA,MODEL 3,32,3
Kingston,CHEVROLET,BOLT EV,14,4
Kingston,CHEVROLET,VOLT,13,5
Kirkland,TESLA,MODEL 3,221,1
Kirkland,TESLA,MODEL Y,214,2
Kirkland,TESLA,MODEL X,196,3
Kirkland,TESLA,MODEL S,185,4
Kirkland,NISSAN,LEAF,157,5
Kittitas,FORD,MUSTANG MACH-E,1,1
Kittitas,JEEP,WRANGLER,1,2
Kittitas,KIA,EV6,1,3
Kittitas,NISSAN,LEAF,1,4
Kittitas,TESLA,MODEL 3,1,5
Klickitat,MINI,COUNTRYMAN,1,1
Klickitat,TOYOTA,PRIUS PRIME,1,2
La Center,TESLA,MODEL Y,35,1
La Center,TESLA,MODEL 3,32,2
La Center,CHEVROLET,VOLT,16,3
La Center,TESLA,MODEL S,14,4
La Center,FORD,MUSTANG MACH-E,13,5
La Conner,TESLA,MODEL Y,16,1
La Conner,TESLA,MODEL 3,14,2
La Conner,FORD,MUSTANG MACH-E,8,3
La Conner,KIA,NIRO,7,4
La Conner,CHEVROLET,VOLT,6,5
Lacey,TESLA,MODEL Y,130,1
Lacey,TESLA,MODEL 3,124,2
Lacey,NISSAN,LEAF,62,3
Lacey,KIA,NIRO,50,4
Lacey,JEEP,WRANGLER,35,5
Lacrosse,TESLA,MODEL Y,1,1
Lake Forest Park,TESLA,MODEL 3,82,1
Lake Forest Park,TESLA,MODEL Y,81,2
Lake Forest Park,NISSAN,LEAF,66,3
Lake Forest Park,CHEVROLET,BOLT EV,29,4
Lake Forest Park,TESLA,MODEL S,28,5
Lake Stevens,TESLA,MODEL 3,163,1
Lake Stevens,TESLA,MODEL Y,158,2
Lake Stevens,NISSAN,LEAF,82,3
Lake Stevens,TESLA,MODEL S,59,4
Lake Stevens,FORD,MUSTANG MACH-E,52,5
Lake Tapps,TESLA,MODEL Y,86,1
Lake Tapps,TESLA,MODEL 3,64,2
Lake Tapps,TESLA,MODEL S,25,3
Lake Tapps,TESLA,MODEL X,20,4
Lake Tapps,FORD,MUSTANG MACH-E,11,5
Lakebay,TESLA,MODEL 3,18,1
Lakebay,TESLA,MODEL Y,16,2
Lakebay,CHEVROLET,VOLT,8,3
Lakebay,CHEVROLET,BOLT EV,7,4
Lakebay,NISSAN,LEAF,7,5
Lakeview,JEEP,GRAND CHEROKEE,1,1
Lakewood,TESLA,MODEL 3,108,1
Lakewood,TESLA,MODEL Y,96,2
Lakewood,NISSAN,LEAF,49,3
Lakewood,RIVIAN,EDV,38,4
Lakewood,CHEVROLET,BOLT EV,32,5
Lamont,TOYOTA,PRIUS PRIME,1,1
Langley,TESLA,MODEL Y,30,1
Langley,CHEVROLET,BOLT EV,29,2
Langley,TESLA,MODEL 3,22,3
Langley,NISSAN,LEAF,20,4
Langley,KIA,NIRO,14,5
Latah,TESLA,MODEL 3,2,1
Latah,TESLA,MODEL S,1,2
Leavenworth,TESLA,MODEL Y,45,1
Leavenworth,CHEVROLET,BOLT EV,32,2
Leavenworth,TESLA,MODEL 3,22,3
Leavenworth,NISSAN,LEAF,21,4
Leavenworth,RIVIAN,R1T,15,5
Lebam,FORD,F-150,1,1
Lebam,FORD,MUSTANG MACH-E,1,2
Lebam,HYUNDAI,IONIQ 5,1,3
Liberty Lake,TESLA,MODEL Y,53,1
Liberty Lake,TESLA,MODEL 3,43,2
Liberty Lake,FORD,MUSTANG MACH-E,15,3
Liberty Lake,KIA,EV6,12,4
Liberty Lake,TESLA,MODEL S,12,5
Lilliwaup,TESLA,MODEL Y,4,1
Lilliwaup,TESLA,MODEL S,3,2
Lilliwaup,FORD,F-150,2,3
Lilliwaup,AUDI,A8 E,1,4
Lilliwaup,BMW,I4,1,5
Lincoln,BMW,X5,1,1
Lincoln,FORD,FUSION,1,2
Lincoln,SUBARU,SOLTERRA,1,3
Lincoln,TESLA,MODEL 3,1,4
Lind,TESLA,MODEL Y,2,1
Lind,RIVIAN,R1T,1,2
Long Beach,TESLA,MODEL Y,6,1
Long Beach,TOYOTA,PRIUS PRIME,6,2
Long Beach,KIA,NIRO,5,3
Long Beach,CHEVROLET,BOLT EV,4,4
Long Beach,FORD,F-150,4,5
Longbranch,TESLA,MODEL 3,5,1
Longbranch,TESLA,MODEL Y,4,2
Longbranch,CHEVROLET,VOLT,3,3
Longbranch,KIA,NIRO,3,4
Longbranch,CHEVROLET,BOLT EV,2,5
Longview,TESLA,MODEL 3,54,1
Longview,TESLA,MODEL Y,50,2
Longview,NISSAN,LEAF,23,3
Longview,CHEVROLET,VOLT,22,4
Longview,TESLA,MODEL S,16,5
Loon Lake,CHEVROLET,BOLT EV,3,1
Loon Lake,TESLA,MODEL Y,3,2
Loon Lake,JEEP,WRANGLER,2,3
Loon Lake,TESLA,MODEL S,2,4
Loon Lake,TOYOTA,PRIUS PRIME,2,5
Lopez Is,NISSAN,LEAF,1,1
Lopez Is,TOYOTA,PRIUS PRIME,1,2
Lopez Island,NISSAN,LEAF,27,1
Lopez Island,TESLA,MODEL 3,11,2
Lopez Island,CHEVROLET,BOLT EV,10,3
Lopez Island,TESLA,MODEL Y,10,4
Lopez Island,HYUNDAI,IONIQ 5,7,5
Lummi Island,TESLA,MODEL 3,6,1
Lummi Island,TESLA,MODEL Y,5,2
Lummi Island,CHEVROLET,BOLT EV,4,3
Lummi Island,TOYOTA,PRIUS PRIME,4,4
Lummi Island,FORD,C-MAX,3,5
Lyle,HYUNDAI,IONIQ 5,3,1
Lyle,CHEVROLET,VOLT,2,2
Lyle,SUBARU,SOLTERRA,2,3
Lyle,TOYOTA,RAV4 PRIME,2,4
Lyle,BMW,X5,1,5
Lyman,CHEVROLET,BLAZER,1,1
Lyman,CHEVROLET,BOLT EV,1,2
Lyman,CHEVROLET,VOLT,1,3
Lynden,TESLA,MODEL Y,57,1
Lynden,TESLA,MODEL 3,44,2
Lynden,CHEVROLET,VOLT,15,3
Lynden,JEEP,WRANGLER,15,4
Lynden,NISSAN,LEAF,14,5
Lynnwood,TESLA,MODEL Y,214,1
Lynnwood,TESLA,MODEL 3,203,2
Lynnwood,NISSAN,LEAF,123,3
Lynnwood,TESLA,MODEL X,88,4
Lynnwood,TESLA,MODEL S,79,5
Mabton,TESLA,MODEL 3,3,1
Mabton,FORD,MUSTANG MACH-E,2,2
Mabton,CHEVROLET,BOLT EUV,1,3
Mabton,CHEVROLET,BOLT EV,1,4
Mabton,CHRYSLER,PACIFICA,1,5
Malaga,NISSAN,LEAF,5,1
Malaga,TESLA,MODEL Y,4,2
Malaga,CHEVROLET,BOLT EV,3,3
Malaga,TESLA,MODEL 3,3,4
Malaga,TESLA,MODEL S,3,5
Malden,MITSUBISHI,OUTLANDER,1,1
Malott,FORD,MUSTANG MACH-E,1,1
Mansfield,CHEVROLET,EQUINOX,1,1
Mansfield,DODGE,HORNET,1,2
Mansfield,FORD,F-150,1,3
Mansfield,NISSAN,LEAF,1,4
Mansfield,TESLA,MODEL Y,1,5
Manson,TESLA,MODEL Y,22,1
Manson,TESLA,MODEL 3,15,2
Manson,TESLA,MODEL S,6,3
Manson,NISSAN,LEAF,5,4
Manson,RIVIAN,R1T,4,5
Maple Falls,TESLA,MODEL 3,7,1
Maple Falls,CHEVROLET,VOLT,6,2
Maple Falls,NISSAN,LEAF,6,3
Maple Falls,TESLA,MODEL Y,5,4
Maple Falls,CHEVROLET,BOLT EV,4,5
Maple Valley,TESLA,MODEL Y,159,1
Maple Valley,TESLA,MODEL 3,146,2
Maple Valley,NISSAN,LEAF,73,3
Maple Valley,TESLA,MODEL S,65,4
Maple Valley,FORD,MUSTANG MACH-E,54,5
Marblemount,TOYOTA,RAV4 PRIME,1,1
Marlin,TESLA,MODEL Y,2,1
Marlin,JEEP,WRANGLER,1,2
Marlin,TESLA,CYBERTRUCK,1,3
Martha Lake,TESLA,MODEL Y,1,1
Maryhill,TOYOTA,RAV4 PRIME,1,1
Marysville,TESLA,MODEL Y,169,1
Marysville,TESLA,MODEL 3,159,2
Marysville,NISSAN,LEAF,76,3
Marysville,TESLA,MODEL S,53,4
Marysville,TESLA,MODEL X,48,5
Mattawa,TESLA,MODEL 3,8,1
Mattawa,TESLA,MODEL Y,5,2
Mattawa,TESLA,MODEL S,3,3
Mattawa,JEEP,WRANGLER,2,4
Mattawa,AUDI,E-TRON,1,5
Mazama,TESLA,MODEL 3,3,1
Mazama,CHEVROLET,BOLT EV,2,2
Mazama,CHEVROLET,EQUINOX,2,3
Mazama,FORD,F-150,2,4
Mazama,RIVIAN,R1T,2,5
McChord AFB,HYUNDAI,IONIQ,1,1
McCleary,CHEVROLET,BOLT EUV,1,1
Mccleary,TESLA,MODEL 3,12,1
Mccleary,TESLA,MODEL Y,10,2
Mccleary,CHEVROLET,BOLT EV,5,3
Mccleary,JEEP,WRANGLER,4,4
Mccleary,VOLKSWAGEN,ID.4,3,5
Mead,TESLA,MODEL Y,22,1
Mead,TESLA,MODEL 3,11,2
Mead,CHEVROLET,VOLT,7,3
Mead,KIA,EV6,6,4
Mead,SUBARU,SOLTERRA,6,5
Medical Lake,TESLA,MODEL Y,15,1
Medical Lake,TESLA,MODEL 3,9,2
Medical Lake,FORD,MUSTANG MACH-E,6,3
Medical Lake,CHEVROLET,VOLT,3,4
Medical Lake,FORD,C-MAX,3,5
Medina,TESLA,MODEL Y,59,1
Medina,TESLA,MODEL S,51,2
Medina,TESLA,MODEL 3,50,3
Medina,TESLA,MODEL X,41,4
Medina,RIVIAN,R1S,14,5
Menlo,TOYOTA,RAV4 PRIME,2,1
Menlo,CHEVROLET,BOLT EV,1,2
Menlo,CHEVROLET,VOLT,1,3
Menlo,FORD,F-150,1,4
Menlo,FORD,MUSTANG MACH-E,1,5
Mercer Island,TESLA,MODEL Y,171,1
Mercer Island,TESLA,MODEL 3,167,2
Mercer Island,TESLA,MODEL S,141,3
Mercer Island,TESLA,MODEL X,123,4
Mercer Island,NISSAN,LEAF,96,5
Mesa,FORD,MUSTANG MACH-E,2,1
Mesa,CHEVROLET,VOLT,1,2
Mesa,CHRYSLER,PACIFICA,1,3
Mesa,FORD,F-150,1,4
Mesa,SUBARU,SOLTERRA,1,5
Metaline,HYUNDAI,TUCSON,1,1
Methow,CADILLAC,LYRIQ,1,1
Methow,CHEVROLET,EQUINOX,1,2
Methow,FORD,MUSTANG MACH-E,1,3
Methow,SUBARU,SOLTERRA,1,4
Methow,TESLA,MODEL Y,1,5
Mica,TESLA,MODEL S,3,1
Mica,FORD,F-150,1,2
Mica,TESLA,MODEL 3,1,3
Mill Creek,TESLA,MODEL Y,117,1
Mill Creek,TESLA,MODEL 3,110,2
Mill Creek,NISSAN,LEAF,43,3
Mill Creek,TESLA,MODEL X,29,4
Mill Creek,TESLA,MODEL S,27,5
Milton,TESLA,MODEL Y,38,1
Milton,TESLA,MODEL 3,33,2
Milton,CHEVROLET,VOLT,7,3
Milton,NISSAN,LEAF,7,4
Milton,KIA,NIRO,4,5
Mineral,CHEVROLET,BOLT EV,2,1
Mineral,CHRYSLER,PACIFICA,2,2
Mineral,FORD,MUSTANG MACH-E,2,3
Mineral,TESLA,MODEL 3,2,4
Mineral,TESLA,MODEL Y,2,5
Moclips,BMW,I3,2,1
Moclips,MITSUBISHI,OUTLANDER,1,2
Moclips,NISSAN,LEAF,1,3
Moclips,TESLA,MODEL S,1,4
Moclips,TOYOTA,PRIUS PRIME,1,5
Monitor,RIVIAN,R1S,1,1
Monitor,TESLA,MODEL Y,1,2
Monroe,TESLA,MODEL Y,125,1
Monroe,TESLA,MODEL 3,101,2
Monroe,NISSAN,LEAF,38,3
Monroe,TESLA,MODEL X,31,4
Monroe,CHEVROLET,BOLT EV,30,5
Montesano,TESLA,MODEL 3,14,1
Montesano,TESLA,MODEL Y,9,2
Montesano,CHEVROLET,BOLT EUV,8,3
Montesano,JEEP,WRANGLER,8,4
Montesano,VOLKSWAGEN,ID.4,8,5
Morton,TESLA,MODEL Y,5,1
Morton,TESLA,MODEL 3,3,2
Morton,CHEVROLET,BOLT EUV,2,3
Morton,TOYOTA,PRIUS PRIME,2,4
Morton,AUDI,E-TRON SPORTBACK,1,5
Moses Lake,TESLA,MODEL Y,67,1
Moses Lake,TESLA,MODEL 3,66,2
Moses Lake,TESLA,MODEL S,20,3
Moses Lake,CHEVROLET,VOLT,19,4
Moses Lake,FORD,F-150,19,5
Mossyrock,TESLA,MODEL S,5,1
Mossyrock,TESLA,MODEL Y,5,2
Mossyrock,TESLA,MODEL 3,4,3
Mossyrock,BMW,I3,2,4
Mossyrock,CHEVROLET,BOLT EV,2,5
Mount Vernon,TESLA,MODEL Y,95,1
Mount Vernon,TESLA,MODEL 3,84,2
Mount Vernon,NISSAN,LEAF,51,3
Mount Vernon,CHEVROLET,BOLT EV,37,4
Mount Vernon,TESLA,MODEL S,36,5
Mountlake Terrace,TESLA,MODEL 3,84,1
Mountlake Terrace,TESLA,MODEL Y,76,2
Mountlake Terrace,NISSAN,LEAF,49,3
Mountlake Terrace,FORD,MUSTANG MACH-E,19,4
Mountlake Terrace,CHEVROLET,BOLT EV,17,5
Moxee,TESLA,MODEL 3,10,1
Moxee,TESLA,MODEL Y,6,2
Moxee,NISSAN,LEAF,3,3
Moxee,CHEVROLET,VOLT,2,4
Moxee,FORD,MUSTANG MACH-E,2,5
Mukilteo,TESLA,MODEL Y,110,1
Mukilteo,TESLA,MODEL 3,105,2
Mukilteo,NISSAN,LEAF,42,3
Mukilteo,TESLA,MODEL S,39,4
Mukilteo,VOLKSWAGEN,ID.4,29,5
Murdock,FORD,C-MAX,1,1
Murdock,FORD,F-150,1,2
Murdock,JEEP,WRANGLER,1,3
Murdock,RIVIAN,R1S,1,4
Murdock,TESLA,MODEL Y,1,5
Naches,TESLA,MODEL 3,9,1
Naches,TESLA,MODEL Y,6,2
Naches,TOYOTA,PRIUS PRIME,3,3
Naches,JEEP,WRANGLER,2,4
Naches,TESLA,MODEL S,2,5
Nahcotta,CHEVROLET,BOLT EV,1,1
Nahcotta,CHRYSLER,PACIFICA,1,2
Nahcotta,POLESTAR,PS2,1,3
Nahcotta,VOLKSWAGEN,ID.4,1,4
Nahcotta,VOLVO,S60,1,5
Napavine,CHEVROLET,VOLT,2,1
Napavine,TESLA,MODEL Y,2,2
Napavine,JEEP,WRANGLER,1,3
Napavine,KIA,NIRO,1,4
Napavine,TESLA,MODEL 3,1,5
Naselle,TESLA,MODEL Y,4,1
Naselle,TOYOTA,RAV4 PRIME,4,2
Naselle,CHRYSLER,PACIFICA,2,3
Naselle,TESLA,MODEL 3,2,4
Naselle,TOYOTA,PRIUS PRIME,2,5
Neah Bay,FORD,MUSTANG MACH-E,2,1
Neah Bay,TESLA,MODEL Y,2,2
Neah Bay,CHEVROLET,BOLT EUV,1,3
Neah Bay,CHEVROLET,VOLT,1,4
Neah Bay,CHRYSLER,PACIFICA,1,5
Nespelem,NISSAN,LEAF,1,1
Newcastle,TESLA,MODEL Y,139,1
Newcastle,TESLA,MODEL 3,126,2
Newcastle,TESLA,MODEL X,62,3
Newcastle,TESLA,MODEL S,48,4
Newcastle,NISSAN,LEAF,40,5
Newman Lake,TESLA,MODEL Y,9,1
Newman Lake,TESLA,MODEL 3,6,2
Newman Lake,JEEP,GRAND CHEROKEE,4,3
Newman Lake,CHEVROLET,VOLT,3,4
Newman Lake,KIA,EV6,3,5
Newport,TESLA,MODEL Y,12,1
Newport,TESLA,MODEL 3,5,2
Newport,FORD,MUSTANG MACH-E,4,3
Newport,NISSAN,LEAF,4,4
Newport,BMW,I3,2,5
Nine Mile Falls,TESLA,MODEL Y,24,1
Nine Mile Falls,TESLA,MODEL 3,14,2
Nine Mile Falls,TESLA,MODEL S,11,3
Nine Mile Falls,NISSAN,LEAF,10,4
Nine Mile Falls,JEEP,WRANGLER,9,5
Nooksack,TESLA,MODEL 3,4,1
Nooksack,TESLA,MODEL Y,3,2
Nooksack,NISSAN,LEAF,2,3
Nooksack,CHEVROLET,BOLT EV,1,4
Nooksack,FORD,F-150,1,5
Nordland,NISSAN,LEAF,9,1
Nordland,TESLA,MODEL Y,8,2
Nordland,TESLA,MODEL S,7,3
Nordland,TESLA,MODEL 3,6,4
Nordland,CHEVROLET,VOLT,3,5
Normandy Park,TESLA,MODEL 3,44,1
Normandy Park,TESLA,MODEL Y,44,2
Normandy Park,NISSAN,LEAF,20,3
Normandy Park,CHEVROLET,BOLT EV,16,4
Normandy Park,TESLA,MODEL S,15,5
North Bend,TESLA,MODEL Y,110,1
North Bend,TESLA,MODEL 3,87,2
North Bend,CHEVROLET,BOLT EV,28,3
North Bend,VOLKSWAGEN,ID.4,27,4
North Bend,FORD,MUSTANG MACH-E,26,5
North Bonneville,TESLA,MODEL 3,3,1
North Bonneville,TESLA,MODEL Y,3,2
North Bonneville,BMW,I4,1,3
North Bonneville,BMW,X5,1,4
North Bonneville,CHEVROLET,BOLT EV,1,5
North Cove,TESLA,MODEL Y,4,1
North Cove,CHEVROLET,VOLT,1,2
North Cove,JEEP,WRANGLER,1,3
North Cove,KIA,NIRO,1,4
North Cove,LEXUS,NX,1,5
Northport,HYUNDAI,IONIQ 5,1,1
Northwestern Lake,HONDA,PROLOGUE,1,1
Oak Harbor,TESLA,MODEL Y,77,1
Oak Harbor,TESLA,MODEL 3,73,2
Oak Harbor,NISSAN,LEAF,31,3
Oak Harbor,CHEVROLET,VOLT,26,4
Oak Harbor,TOYOTA,PRIUS PRIME,23,5
Oakesdale,JEEP,GRAND CHEROKEE,1,1
Oakesdale,KIA,EV6,1,2
Oakesdale,TESLA,MODEL Y,1,3
Oakville,TESLA,MODEL 3,5,1
Oakville,FORD,FUSION,3,2
Oakville,CHEVROLET,BLAZER,2,3
Oakville,CHRYSLER,PACIFICA,2,4
Oakville,TESLA,MODEL S,2,5
Ocean Park,NISSAN,LEAF,4,1
Ocean Park,TESLA,MODEL S,4,2
Ocean Park,TESLA,MODEL Y,4,3
Ocean Park,CHEVROLET,BOLT EV,3,4
Ocean Park,JEEP,WRANGLER,3,5
Ocean Shores,TESLA,MODEL Y,24,1
Ocean Shores,TESLA,MODEL 3,17,2
Ocean Shores,JEEP,WRANGLER,14,3
Ocean Shores,CHEVROLET,VOLT,9,4
Ocean Shores,FORD,MUSTANG MACH-E,9,5
Odessa,JEEP,GRAND CHEROKEE,2,1
Odessa,TESLA,MODEL 3,2,2
Odessa,BMW,X5,1,3
Odessa,CHEVROLET,BOLT EUV,1,4
